"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Type text into iFrame editor","Web Test Suite","Fri Mar 27 04:53:31 UTC 2026","unknown","Fri Mar 27 04:53:31 UTC 2026","ra.hul.tests.web.FramesTest","Web Regression Tests","ra.hul.tests.web.FramesTest","iframe_typeText_shouldUpdateContent"
"","6835","Wait for element to be rendered after clicking start","Web Test Suite","Fri Mar 27 04:53:46 UTC 2026","passed","Fri Mar 27 04:53:53 UTC 2026","ra.hul.tests.web.DynamicLoadingTest","Web Regression Tests","ra.hul.tests.web.DynamicLoadingTest","dynamicLoading_example2_shouldRenderElement"
"","4020","Verify logout after successful login","Web Test Suite","Fri Mar 27 04:53:49 UTC 2026","passed","Fri Mar 27 04:53:53 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_thenLogout_shouldReturnToLoginPage"
"","1695","Verify checkboxes page loads with 2 checkboxes","Web Test Suite","Fri Mar 27 04:53:41 UTC 2026","passed","Fri Mar 27 04:53:43 UTC 2026","ra.hul.tests.web.CheckboxTest","Web Regression Tests","ra.hul.tests.web.CheckboxTest","checkboxes_pageLoad_shouldShowTwoCheckboxes"
"","796","Hover over first profile to reveal name","Web Test Suite","Fri Mar 27 04:53:52 UTC 2026","passed","Fri Mar 27 04:53:52 UTC 2026","ra.hul.tests.web.HoverTest","Web Regression Tests","ra.hul.tests.web.HoverTest","hover_firstProfile_shouldShowName"
"","3554","POST with POJO serialization","API Test Suite","Fri Mar 27 04:53:22 UTC 2026","passed","Fri Mar 27 04:53:26 UTC 2026","ra.hul.tests.api.PostRequestTest","API Tests","ra.hul.tests.api.PostRequestTest","post_withPojo_shouldSerializeAndEcho"
"","3512","PUT /put echoes the sent body","API Test Suite","Fri Mar 27 04:53:22 UTC 2026","passed","Fri Mar 27 04:53:25 UTC 2026","ra.hul.tests.api.PutPatchDeleteTest","API Tests","ra.hul.tests.api.PutPatchDeleteTest","put_shouldReturn200AndEchoBody"
"","2451","Upload a text file and verify the filename is displayed","Web Test Suite","Fri Mar 27 04:53:46 UTC 2026","passed","Fri Mar 27 04:53:48 UTC 2026","ra.hul.tests.web.FileUploadTest","Web Regression Tests","ra.hul.tests.web.FileUploadTest","fileUpload_textFile_shouldShowUploadedName"
"","2361","POST /post response time should be within SLA","API Test Suite","Fri Mar 27 04:53:22 UTC 2026","passed","Fri Mar 27 04:53:24 UTC 2026","ra.hul.tests.api.ResponseTimeTest","API Tests","ra.hul.tests.api.ResponseTimeTest","post_responseTime_shouldBeWithinSla"
"","1550","Accept a JS alert and verify result text","Web Test Suite","Fri Mar 27 04:53:47 UTC 2026","passed","Fri Mar 27 04:53:49 UTC 2026","ra.hul.tests.web.JavaScriptAlertsTest","Web Regression Tests","ra.hul.tests.web.JavaScriptAlertsTest","jsAlert_accept_shouldShowSuccessResult"
"","4472","Data-driven: verify error messages for invalid credentials","Web Test Suite","Fri Mar 27 04:53:41 UTC 2026","passed","Fri Mar 27 04:53:46 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","3528","GET /json returns valid JSON body","API Test Suite","Fri Mar 27 04:53:22 UTC 2026","passed","Fri Mar 27 04:53:25 UTC 2026","ra.hul.tests.api.GetRequestTest","API Tests","ra.hul.tests.api.GetRequestTest","get_json_shouldReturnValidJsonBody"
"","1535","Drag column A to column B using JavaScript workaround","Web Test Suite","Fri Mar 27 04:53:51 UTC 2026","passed","Fri Mar 27 04:53:52 UTC 2026","ra.hul.tests.web.DragAndDropTest","Web Regression Tests","ra.hul.tests.web.DragAndDropTest","dragAndDrop_AtoB_shouldSwapHeaders"
"","3425","Read text content from an iFrame","Web Test Suite","Fri Mar 27 04:53:48 UTC 2026","passed","Fri Mar 27 04:53:52 UTC 2026","ra.hul.tests.web.FramesTest","Web Regression Tests","ra.hul.tests.web.FramesTest","iframe_readContent_shouldReturnText"
"","3157","Select Option 2 from dropdown","Web Test Suite","Fri Mar 27 04:53:41 UTC 2026","passed","Fri Mar 27 04:53:44 UTC 2026","ra.hul.tests.web.DropdownTest","Web Regression Tests","ra.hul.tests.web.DropdownTest","dropdown_selectOption2_shouldBeSelected"
"","3557","POST /post with JSON body returns 200 and echoes data","API Test Suite","Fri Mar 27 04:53:22 UTC 2026","passed","Fri Mar 27 04:53:26 UTC 2026","ra.hul.tests.api.PostRequestTest","API Tests","ra.hul.tests.api.PostRequestTest","post_withJsonBody_shouldReturn200AndEchoData"
"","2361","Basic auth with invalid credentials returns 401","API Test Suite","Fri Mar 27 04:53:22 UTC 2026","passed","Fri Mar 27 04:53:24 UTC 2026","ra.hul.tests.api.AuthenticationTest","API Tests","ra.hul.tests.api.AuthenticationTest","basicAuth_invalidCredentials_shouldReturn401"
