"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3436","PATCH /patch echoes the sent body","API Test Suite","Sat Mar 28 10:41:16 UTC 2026","passed","Sat Mar 28 10:41:20 UTC 2026","ra.hul.tests.api.PutPatchDeleteTest","API Tests","ra.hul.tests.api.PutPatchDeleteTest","patch_shouldReturn200AndEchoBody"
"","2484","Open new window and verify heading","Web Test Suite","Sat Mar 28 10:41:40 UTC 2026","passed","Sat Mar 28 10:41:42 UTC 2026","ra.hul.tests.web.MultipleWindowsTest","Web Regression Tests","ra.hul.tests.web.MultipleWindowsTest","multipleWindows_openNew_shouldShowNewWindowHeading"
"","3423","GET /json returns valid JSON body","API Test Suite","Sat Mar 28 10:41:16 UTC 2026","passed","Sat Mar 28 10:41:20 UTC 2026","ra.hul.tests.api.GetRequestTest","API Tests","ra.hul.tests.api.GetRequestTest","get_json_shouldReturnValidJsonBody"
"","4386","Chain multiple requests and validate data flow","API Test Suite","Sat Mar 28 10:41:16 UTC 2026","passed","Sat Mar 28 10:41:21 UTC 2026","ra.hul.tests.api.ResponseChainingTest","API Tests","ra.hul.tests.api.ResponseChainingTest","responseChaining_multiStep_shouldMaintainDataIntegrity"
"","5424","Data-driven: verify error messages for invalid credentials","Web Test Suite","Sat Mar 28 10:41:31 UTC 2026","passed","Sat Mar 28 10:41:36 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","4888","Data-driven: verify error messages for invalid credentials","Web Test Suite","Sat Mar 28 10:41:31 UTC 2026","passed","Sat Mar 28 10:41:36 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","2430","GET /get response time should be within SLA","API Test Suite","Sat Mar 28 10:41:16 UTC 2026","passed","Sat Mar 28 10:41:19 UTC 2026","ra.hul.tests.api.ResponseTimeTest","API Tests","ra.hul.tests.api.ResponseTimeTest","get_responseTime_shouldBeWithinSla"
"","3263","POST user validates against JSON schema","API Test Suite","Sat Mar 28 10:41:16 UTC 2026","passed","Sat Mar 28 10:41:20 UTC 2026","ra.hul.tests.api.SchemaValidationTest","API Tests","ra.hul.tests.api.SchemaValidationTest","postUser_shouldMatchJsonSchema"
"","1193","Hover over second profile to reveal name","Web Test Suite","Sat Mar 28 10:41:41 UTC 2026","passed","Sat Mar 28 10:41:43 UTC 2026","ra.hul.tests.web.HoverTest","Web Regression Tests","ra.hul.tests.web.HoverTest","hover_secondProfile_shouldShowName"
"","2188","Type into JS prompt and verify typed text in result","Web Test Suite","Sat Mar 28 10:41:37 UTC 2026","passed","Sat Mar 28 10:41:40 UTC 2026","ra.hul.tests.web.JavaScriptAlertsTest","Web Regression Tests","ra.hul.tests.web.JavaScriptAlertsTest","jsPrompt_typeAndAccept_shouldShowTypedText"
"","2429","Basic auth with invalid credentials returns 401","API Test Suite","Sat Mar 28 10:41:16 UTC 2026","passed","Sat Mar 28 10:41:19 UTC 2026","ra.hul.tests.api.AuthenticationTest","API Tests","ra.hul.tests.api.AuthenticationTest","basicAuth_invalidCredentials_shouldReturn401"
"","3478","GET with query params echoes them back","API Test Suite","Sat Mar 28 10:41:16 UTC 2026","passed","Sat Mar 28 10:41:20 UTC 2026","ra.hul.tests.api.GetRequestTest","API Tests","ra.hul.tests.api.GetRequestTest","get_withQueryParams_shouldEchoParams"
"","1141","Hover over third profile to reveal name","Web Test Suite","Sat Mar 28 10:41:42 UTC 2026","passed","Sat Mar 28 10:41:43 UTC 2026","ra.hul.tests.web.HoverTest","Web Regression Tests","ra.hul.tests.web.HoverTest","hover_thirdProfile_shouldShowName"
"","5244","Data-driven: verify error messages for invalid credentials","Web Test Suite","Sat Mar 28 10:41:31 UTC 2026","passed","Sat Mar 28 10:41:36 UTC 2026","ra.hul.tests.web.LoginTest","Web Regression Tests","ra.hul.tests.web.LoginTest","login_invalidData_shouldShowError"
"","2228","Toggle first checkbox and verify state change","Web Test Suite","Sat Mar 28 10:41:31 UTC 2026","passed","Sat Mar 28 10:41:33 UTC 2026","ra.hul.tests.web.CheckboxTest","Web Regression Tests","ra.hul.tests.web.CheckboxTest","checkbox_toggleFirst_shouldChangeState"
