"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Type text into iFrame editor","Web Test Suite","Thu Mar 26 17:20:34 UTC 2026","unknown","Thu Mar 26 17:20:34 UTC 2026","ra.hul.tests.web.FramesTest","Web Regression Tests","ra.hul.tests.web.FramesTest","iframe_typeText_shouldUpdateContent"
"","4286","POST with POJO serialization","API Test Suite","Thu Mar 26 17:20:34 UTC 2026","passed","Thu Mar 26 17:20:39 UTC 2026","ra.hul.tests.api.PostRequestTest","API Tests","ra.hul.tests.api.PostRequestTest","post_withPojo_shouldSerializeAndEcho"
"","4299","GET with query params echoes them back","API Test Suite","Thu Mar 26 17:20:34 UTC 2026","passed","Thu Mar 26 17:20:39 UTC 2026","ra.hul.tests.api.GetRequestTest","API Tests","ra.hul.tests.api.GetRequestTest","get_withQueryParams_shouldEchoParams"
"","1804","Accept a JS alert and verify result text","Web Test Suite","Thu Mar 26 17:20:51 UTC 2026","passed","Thu Mar 26 17:20:53 UTC 2026","ra.hul.tests.web.JavaScriptAlertsTest","Web Regression Tests","ra.hul.tests.web.JavaScriptAlertsTest","jsAlert_accept_shouldShowSuccessResult"
"","3104","DELETE /delete returns 200","API Test Suite","Thu Mar 26 17:20:34 UTC 2026","passed","Thu Mar 26 17:20:38 UTC 2026","ra.hul.tests.api.PutPatchDeleteTest","API Tests","ra.hul.tests.api.PutPatchDeleteTest","delete_shouldReturn200"
"","7104","Wait for element to be rendered after clicking start","Web Test Suite","Thu Mar 26 17:20:50 UTC 2026","passed","Thu Mar 26 17:20:57 UTC 2026","ra.hul.tests.web.DynamicLoadingTest","Web Regression Tests","ra.hul.tests.web.DynamicLoadingTest","dynamicLoading_example2_shouldRenderElement"
"","1228","Drag column A to column B using JavaScript workaround","Web Test Suite","Thu Mar 26 17:20:54 UTC 2026","passed","Thu Mar 26 17:20:56 UTC 2026","ra.hul.tests.web.DragAndDropTest","Web Regression Tests","ra.hul.tests.web.DragAndDropTest","dragAndDrop_AtoB_shouldSwapHeaders"
"","3110","POST /post response time should be within SLA","API Test Suite","Thu Mar 26 17:20:34 UTC 2026","passed","Thu Mar 26 17:20:38 UTC 2026","ra.hul.tests.api.ResponseTimeTest","API Tests","ra.hul.tests.api.ResponseTimeTest","post_responseTime_shouldBeWithinSla"
"","4250","Content-Type header is sent correctly","API Test Suite","Thu Mar 26 17:20:34 UTC 2026","passed","Thu Mar 26 17:20:39 UTC 2026","ra.hul.tests.api.HeadersTest","API Tests","ra.hul.tests.api.HeadersTest","headers_contentType_shouldBeJson"
"","629","Hover over third profile to reveal name","Web Test Suite","Thu Mar 26 17:20:56 UTC 2026","passed","Thu Mar 26 17:20:57 UTC 2026","ra.hul.tests.web.HoverTest","Web Regression Tests","ra.hul.tests.web.HoverTest","hover_thirdProfile_shouldShowName"
"","655","Hover over second profile to reveal name","Web Test Suite","Thu Mar 26 17:20:56 UTC 2026","passed","Thu Mar 26 17:20:57 UTC 2026","ra.hul.tests.web.HoverTest","Web Regression Tests","ra.hul.tests.web.HoverTest","hover_secondProfile_shouldShowName"
"","3111","GET /get response time should be within SLA","API Test Suite","Thu Mar 26 17:20:34 UTC 2026","passed","Thu Mar 26 17:20:38 UTC 2026","ra.hul.tests.api.ResponseTimeTest","API Tests","ra.hul.tests.api.ResponseTimeTest","get_responseTime_shouldBeWithinSla"
